Регистрационный номер;Краткое наименование;Дата регистрации;Возраст компании, лет;Статус;Регион регистрации;Наименование ОКАТО;Вид деятельности/отрасль;Организационно-правовая форма;2019, Доходы, RUB;2020, Доходы, RUB;2021, Доходы, RUB;2019, Расходы, RUB;2020, Расходы, RUB;2021, Расходы, RUB;2019, Налоги, RUB;2020, Налоги, RUB;2021, Налоги, RUB;2019, Активы  всего, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2019, Капитал и резервы, RUB;2020, Капитал и резервы, RUB;2021, Капитал и резервы, RUB;2019, Пассивы всего, RUB;2020, Пассивы всего, RUB;2021, Пассивы всего, RUB;2019, Чистая прибыль (убыток), RUB;2020, Чистая прибыль (убыток), RUB;2021, Чистая прибыль (убыток), RUB;2019, Оплата труда, RUB;2020, Оплата труда, RUB;2021, Оплата труда, RUB;2019, Прибыль от приносящей доход деятельности, RUB;2020, Прибыль от приносящей доход деятельности, RUB;2021, Прибыль от приносящей доход деятельности, RUB;2019, Всего поступило средств, RUB;2020, Всего поступило средств, RUB;2021, Всего поступило средств, RUB;2019, Расходы на целевые мероприятия, RUB;2020, Расходы на целевые мероприятия, RUB;2021, Расходы на целевые мероприятия, RUB;2019, Расходы на содержание аппарата управления, RUB;2020, Расходы на содержание аппарата управления, RUB;2021, Расходы на содержание аппарата управления, RUB;2019, Приобретение основных средств, инвентаря и иного имущества, RUB;2020, Приобретение основных средств, инвентаря и иного имущества, RUB;2021, Приобретение основных средств, инвентаря и иного имущества, RUB;2019, Всего использовано средств, RUB;2020, Всего использовано средств, RUB;2021, Всего использовано средств, RUB;2019, Остаток средств на конец отчетного года, RUB;2020, Остаток средств на конец отчетного года, RUB;2021, Остаток средств на конец отчетного года, RUB
1191690031829;"АНО ""НИЦ ДНК""";08.04.2019;3,0;Действующая;Республика Татарстан;Республика Татарстан, Казань, Вахитовский;Научные исследования и разработки в области биотехнологии;Автономные некоммерческие организации;;;;;;;;;;590 296 000;1 047 261 000;1 698 354 000;585 728 000;752 672 000;998 600 000;590 296 000;1 047 261 000;1 698 354 000;;;;537 000;1 168 000;;;;;593 780 000;230 215 000;;119 529 000;90 083 000;;848 000;2 137 000;;41 638 000;754 554 000;;162 015 000;907 908 000;;431 765 000;-245 928 000;
1196451005211;"АНО ""НИЦМ И ТИ""";04.03.2019;3,0;Действующая;Саратовская область;Саратовская область, Саратов, Ленинский;Научные исследования и разработки в области естественных и технических наук прочие;Автономные некоммерческие организации;;;;;;;;;;152 000;333 000;881 000;121 000;321 000;815 000;152 000;333 000;881 000;111 000;183 000;501 000;;;;;;;;;;;;;;;;;;;;;;;;
1217200003140;"АССОЦИАЦИЯ ""НК""";26.02.2021;1,0;Действующая;Тюменская область;Тюменская область, Тюмень;Деятельность профессиональных членских организаций;Объединения юридических лиц;;;;;;;;;;;;1 040 000;;;;;;1 040 000;;;;;;;;;416 000;;;7 016 000;;;;;;6 129 000;;;;;;6 129 000;;;887 000
1042500000190;ОО НКА КОРЕЙЦЕВ Г. УССУРИЙСКА;28.03.1997;25,0;Действующая;Приморский край;Приморский край, Уссурийск;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;39 475 000;37 158 000;40 811 000;;;;39 475 000;37 158 000;40 811 000;-1 704 000;-2 336 000;829 000;;;;;;;671 000;631 000;730 000;50 000;210 000;640 000;454 000;421 000;610 000;5 983 000;;;6 487 000;631 000;1 250 000;520 000;520 000;
1035205765539;"АНПОО ""НКТС""";24.04.2003;19,0;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Советский;Образование профессиональное среднее;Автономные некоммерческие организации;;;;;;;;;;25 655 000;28 297 000;42 500 000;-4 116 000;-3 358 000;6 149 000;25 655 000;28 297 000;42 500 000;1 057 000;758 000;9 507 000;;;;;;;;;;;;;;;;;;;;;;;;
1037746000797;"МОО - ППО ФГБУ ""НМИЦ ТИО ИМ. АК. В. И. ШУМАКОВА"" МИНЗДРАВА РОССИИ РОО ПСРЗ Г. МОСКВЫ";04.03.2003;19,0;Действующая;Москва;Москва, Северо-Западный, Щукино;Деятельность профессиональных союзов;Профсоюзные организации;;;;;;;;;;;;2 503 000;;;;;;2 503 000;;;;;;;;;;;;4 862 000;;;3 720 000;;;234 000;;;;;;4 021 000;;;2 473 000
1115300000200;"АССОЦИАЦИЯ ""НМК""";24.03.2011;11,0;Действующая;Новгородская область;Новгородская область, Великий Новгород;Деятельность профессиональных членских организаций;Объединения юридических лиц;;;;;;;;;;215 000;126 000;54 000;;;;215 000;126 000;54 000;;;;;;;;;;180 000;80 000;180 000;;;;126 000;169 000;252 000;;;;126 000;169 000;252 000;215 000;126 000;54 000
1037739745460;"МОО ""НМО""";18.03.1998;24,0;Действующая;Москва;Москва, Центральный, Хамовники;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;11 076 000;8 114 000;12 719 000;11 027 000;8 089 000;12 719 000;11 076 000;8 114 000;12 719 000;;;;;;2 019 000;;;;23 426 000;15 485 000;25 439 000;24 581 000;12 693 000;13 547 000;6 878 000;5 730 000;6 641 000;102 000;492 000;210 000;32 504 000;18 915 000;21 019 000;10 795 000;7 365 000;11 784 000
1027739578767;"АНО ""ИНСТИТУТ ПРАВА И ПУБЛИЧНОЙ ПОЛИТИКИ"", АНО ИППП, ИНСТИТУТ ПРАВА И ПУБЛИЧНОЙ ПОЛИТИКИ";24.07.2000;22,0;Действующая;Москва;Москва, Центральный, Мещанский;Научные исследования и разработки в области общественных и гуманитарных наук;Автономные некоммерческие организации;;;;;;;;;;27 102 000;9 970 000;12 073 000;26 600 000;8 205 000;11 092 000;27 102 000;9 970 000;12 073 000;12 000;283 000;-171 000;8 459 000;3 311 000;17 919 000;12 000;283 000;-170 000;48 415 000;11 527 000;35 902 000;19 384 000;19 323 000;23 641 000;8 295 000;10 040 000;8 897 000;153 000;375 000;217 000;28 986 000;30 354 000;32 755 000;23 950 000;5 123 000;8 269 000
1057700030410;"ППО ПАО ""НОВАТЭК"" НЕФТЕГАЗСТРОЙПРОФСОЮЗА РОССИИ";19.12.2005;16,5;Действующая;Москва;Москва, Западный, Проспект Вернадского;Деятельность профессиональных союзов;Профсоюзные организации;;;;;;;;;;101 000;260 000;261 000;;;;101 000;260 000;261 000;;;;;;;;;;2 404 000;1 868 000;2 134 000;-2 458 000;-1 709 000;-2 133 000;;;;;;;-2 458 000;-1 709 000;-2 133 000;101 000;260 000;261 000
1097800002871;"ФОНД ""НОВАЯ ВЫСОТА""";29.04.2009;13,0;Действующая;Санкт-Петербург;Санкт-Петербург, Центральный;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Фонды;;;;;;;;;;296 000;1 356 000;2 142 000;;-466 000;-463 000;296 000;1 356 000;2 142 000;-957 000;238 000;3 000;;;;;600 000;955 000;3 810 000;4 521 000;3 913 000;3 681 000;3 400 000;2 665 000;922 000;700 000;879 000;;;;4 638 000;4 100 000;3 544 000;25 000;446 000;815 000
1193700000010;"МОО ТОС ""НОВАЯ ДЕРЯБИХА""";18.01.2019;3,5;Действующая;Ивановская область;Ивановская область, Ивановский район, Богданихский, д Дерябиха;Деятельность прочих общественных организаций, не включенных в другие группировки;Территориальные общественные самоуправления;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1026600004177;"МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ЦЕРКОВЬ ХРИСТИАН ВЕРЫ ЕВАНГЕЛЬСКОЙ (ПЯТИДЕСЯТНИКОВ) ""НОВАЯ ЖИЗНЬ"" Г. ЕКАТЕРИНБУРГА";15.09.1994;27,5;Действующая;Свердловская область;Свердловская область, Екатеринбург, Верх-Исетский;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;41 198 000;52 340 000;59 664 000;;;;41 198 000;52 340 000;59 664 000;985 000;935 000;858 000;;;;985 000;935 000;858 000;16 929 000;17 195 000;16 720 000;;;;8 807 000;6 536 000;6 997 000;102 000;117 000;97 000;9 409 000;6 780 000;7 356 000;39 108 000;49 523 000;58 887 000
1112700000665;"МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ЦЕРКОВЬ ХРИСТИАН ВЕРЫ ЕВАНГЕЛЬСКОЙ ""НОВАЯ ЖИЗНЬ"" Г.ХАБАРОВСКА";23.05.2011;11,0;Действующая;Хабаровский край;Хабаровский край, Хабаровск, Железнодорожный;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1057748458371;"БФ ""НОВАЯ ЖИЗНЬ""";04.10.2005;16,5;Действующая;Москва;Москва, Северный, Головинский;Деятельность физкультурно-оздоровительная;Благотворительные фонды;;;;;;;;;;;942 000;1 038 000;;;;;942 000;1 038 000;;;;;;;;;;;188 000;;;1 393 000;;;202 000;;;;;;1 595 000;;;894 000;
1143300000546;"БФ ""НОВАЯ ЖИЗНЬ""";13.08.2014;7,5;Действующая;Владимирская область;Владимирская область, Владимир, Ленинский;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Благотворительные фонды;;;;;;;;;;8 000;147 000;10 000;8 000;147 000;10 000;8 000;147 000;10 000;;;;;;;;;;827 000;449 000;436 000;753 000;250 000;531 000;64 000;60 000;42 000;21 000;;;838 000;310 000;573 000;8 000;147 000;10 000
1156313048528;"ОБФР ""НОВАЯ ЖИЗНЬ""";31.08.2015;6,5;Действующая;Самарская область;Самарская область, Тольятти, Автозаводский;Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам;Благотворительные фонды;;;;;;;;;;12 000;105 000;54 000;;;;12 000;105 000;54 000;;;;;;;;;;;397 000;224 000;;134 000;49 000;;184 000;224 000;;;;;319 000;273 000;;78 000;29 000
1095300000322;"МОО ""НОВГОРОДСКАЯ ЗЕМЛЯ""";01.07.2009;13,0;Действующая;Новгородская область;Новгородская область, Великий Новгород;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;;;1 829 000;;;1 829 000;;;1 829 000;;;1 509 000;;;1 539 000;;;;;23 441 000;4 801 000;;23 061 000;1 753 000;;380 000;1 539 000;;;;;23 441 000;3 292 000;;;1 509 000
1115035000024;"ДНТ ""НОВО-КАЗАНСКОЕ""";27.01.2011;11,0;Действующая;Московская область;Московская область, Павловский Посад, д Сонино;Деятельность прочих общественных организаций;Садоводческие или огороднические некоммерческие товарищества;;;;;;;;;;30 418 000;31 516 000;31 943 000;;;;30 418 000;31 516 000;31 943 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1042331326223;"АНОДО ЦСОМ ""НОВОЕ ПОКОЛЕНИЕ""";20.12.2004;17,5;Действующая;Краснодарский край;Краснодарский край, Усть-Лабинский район, Усть-Лабинск;Образование дополнительное детей и взрослых прочее, не включенное в другие группировки;Автономные некоммерческие организации;;;;;;;;;;1 435 000;711 000;365 000;;;;1 435 000;711 000;365 000;69 000;14 000;194 000;;;;69 000;14 000;194 000;1 383 000;787 000;194 000;1 314 000;773 000;194 000;;;;;;;1 383 000;787 000;194 000;;;
1143100001736;"БРОО ""НОВОЕ ПОКОЛЕНИЕ""";29.10.2014;7,5;Действующая;Белгородская область;Белгородская область, Белгород, Западный;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;876 000;859 000;1 960 000;848 000;825 000;1 915 000;876 000;859 000;1 960 000;;;;;;;;;;3 001 000;3 469 000;7 068 000;2 288 000;2 042 000;4 595 000;828 000;736 000;720 000;;;2 007 000;3 116 000;2 778 000;7 322 000;134 000;825 000;571 000
1161326058772;"МРОО ""НОВОЕ СЕЛО""";29.11.2016;5,5;Действующая;Мордовия (Республика);Республика Мордовия, Большеберезниковский район, Паракинский, с Паракино;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;89 000;1 119 000;;-131 000;-967 000;;89 000;1 119 000;;-15 000;-836 000;;;;;;;;1 328 000;;;1 240 000;;;;;;;;;1 240 000;;;88 000;;
1111600000863;НОВОИЕРУСАЛИМСКОЕ АРХИЕРЕЙСКОЙ ПОДВОРЬЕ Г. КАЗАНИ;04.04.2011;11,0;Действующая;Республика Татарстан;Республика Татарстан, Казань, Приволжский;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1023201331229;"ОВУЛ ""НОВОКЕМП""";05.05.1998;24,0;Действующая;Брянская область;Брянская область, Суражский район, Кулажский, п Красный Завод;Деятельность по организации отдыха детей и их оздоровления;Частные учреждения;;;;;;;;;;1 146 000;1 550 000;426 000;177 000;177 000;157 000;1 146 000;1 550 000;426 000;18 000;;;4 312 000;2 270 000;3 116 000;;;;2 050 000;3 269 000;3 099 000;384 000;938 000;902 000;1 488 000;1 290 000;2 026 000;175 000;102 000;;2 050 000;2 726 000;3 505 000;;543 000;137 000
1044218001123;"АНО ДПО ""НОВОКУЗНЕЦКИЙ РЕГИОНАЛЬНЫЙ ЦЕНТР ОТИПБ""";01.03.2004;18,0;Действующая;Кемеровская область;Кемеровская область, Новокузнецк, Центральный;Обучение профессиональное;Автономные некоммерческие организации;;;;;;;;;;838 000;212 000;325 000;;;;838 000;212 000;325 000;1 261 000;1 424 000;1 643 000;;;;;;;;;;;;;;;;;;;;;;;;
1159102103962;"АНО ""НОВОСВЕТСКИЙ СПОРТКЛУБ 88""";25.06.2015;7,0;Действующая;Республика Крым;Республика Крым, Судак;Деятельность в области спорта прочая;Автономные некоммерческие организации;;;;;;;;;;21 000;26 000;;21 000;;;21 000;26 000;;-184 000;;;35 000;;;;;;;75 000;;;;;;;;;;;;71 000;;;6 000;
1125499000054;"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКАЯ ПРАВОСЛАВНАЯ ДУХОВНАЯ СЕМИНАРИЯ НОВОСИБИРСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ""";31.07.2012;9,5;Действующая;Новосибирская область;Новосибирская область, Обь;Образование высшее;Религиозные организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035400007455;"МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ЕВАНГЕЛЬСКИХ ХРИСТИАН ""НОВОСИБИРСКАЯ ХРИСТИАНСКАЯ ЦЕРКОВЬ""";18.10.1993;28,5;Действующая;Новосибирская область;Новосибирская область, Новосибирск, Калининский;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;12 633 000;17 836 000;23 589 000;;;;12 633 000;17 836 000;23 589 000;411 000;335 000;570 000;;;;;;;14 725 000;14 984 000;16 461 000;12 370 000;8 916 000;9 679 000;1 664 000;963 000;1 050 000;127 000;;242 000;14 192 000;9 909 000;11 008 000;8 262 000;13 337 000;18 790 000
1035400001097;НБО;06.03.1996;26,0;Действующая;Новосибирская область;Новосибирская область, Новосибирск, Центральный;Деятельность профессиональных членских организаций;Общественные организации;;;;;;;;;;536 000;218 000;866 000;518 000;187 000;821 000;536 000;218 000;866 000;;;;;;;;;;1 532 000;2 230 000;5 957 000;1 214 000;2 373 000;5 288 000;50 000;9 000;21 000;;;;1 279 000;2 383 000;5 327 000;518 000;199 000;829 000
1025400007456;НОВОСИБИРСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ПОЛИТИЧЕСКОЙ ПАРТИИ ЛДПР;15.07.1999;23,0;Действующая;Новосибирская область;Новосибирская область, Новосибирск, Калининский;Деятельность политических организаций;Политические партии;;;;;;;;;;2 291 000;446 000;218 000;-835 000;-2 652 000;-2 778 000;2 291 000;446 000;218 000;;;;;;;;;;16 357 000;17 070 000;2 928 000;7 292 000;4 093 000;641 000;8 713 000;13 668 000;2 374 000;890 000;;;16 952 000;17 997 000;3 054 000;-1 725 000;-2 652 000;-2 778 000
1155200002737;"НРО ОООИ ""НОВЫЕ ВОЗМОЖНОСТИ""";01.12.2015;6,5;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Советский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;433 000;1 226 000;195 000;433 000;1 226 000;195 000;433 000;1 226 000;195 000;;;;;;;;;;2 384 000;4 008 000;1 209 000;2 234 000;3 043 000;2 055 000;165 000;172 000;185 000;;81 000;;2 399 000;3 296 000;2 240 000;433 000;1 145 000;114 000
1062600025861;"ОО ""НОВЫЕ ВОЗМОЖНОСТИ""";21.06.2006;16,0;Действующая;Ставропольский край;Ставропольский край, Ставрополь, Промышленный;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;;304 000;408 000;;304 000;408 000;;304 000;408 000;;;;;227 000;462 000;;;;;860 000;1 282 000;;;;;239 000;1 169 000;;81 000;44 000;;642 000;1 213 000;;218 000;287 000
1207700135972;"ПАРТИЯ ""НОВЫЕ ЛЮДИ""";24.03.2020;2,0;Действующая;Москва;Москва, Центральный, Пресненский;Деятельность политических организаций;Политические партии;;;;;;;;;;;6 312 000;19 537 000;;-12 000 000;18 643 000;;6 312 000;19 537 000;;;;;;;;;;;;718 013 000;;;636 205 000;;;50 838 000;;;2 655 000;;;690 025 000;;;15 740 000
1107800003937;"АНО ""НОВЫЕ ПЕРСПЕКТИВЫ""";15.07.2010;12,0;Действующая;Санкт-Петербург;Санкт-Петербург, Адмиралтейский;Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам;Автономные некоммерческие организации;;;;;;;;;;14 225 000;21 019 000;24 468 000;14 192 000;17 878 000;24 445 000;14 225 000;21 019 000;24 468 000;;1 770 000;145 000;;;;807 000;1 770 000;145 000;39 828 000;39 532 000;52 713 000;30 162 000;30 232 000;39 010 000;6 210 000;5 372 000;6 409 000;1 189 000;478 000;74 000;38 475 000;36 085 000;46 146 000;11 311 000;14 758 000;21 325 000
1043800520081;"ФОНД ""НОВЫЙ АНГАРСК""";25.03.2004;18,0;Действующая;Иркутская область;Иркутская область, Ангарский район, Ангарск;Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам;Благотворительные фонды;;;;;;;;;;3 736 000;13 063 000;3 314 000;3 719 000;13 034 000;3 304 000;3 736 000;13 063 000;3 314 000;39 000;34 000;160 000;;1 744 000;3 168 000;39 000;34 000;186 000;10 313 000;28 816 000;25 738 000;8 015 000;18 085 000;32 559 000;105 000;1 416 000;3 224 000;;98 000;;8 120 000;19 599 000;35 783 000;3 719 000;12 936 000;2 891 000
1124000001476;"МБОО ""НОВЫЙ ДЕНЬ""";05.09.2012;9,5;Действующая;Калужская область;Калужская область, Калуга;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;286 000;1 096 000;3 007 000;248 000;721 000;2 464 000;286 000;1 096 000;3 007 000;;;;;;;;;;27 548 000;56 775 000;54 964 000;25 447 000;51 891 000;49 203 000;1 904 000;4 148 000;3 950 000;;301 000;68 000;27 351 000;56 340 000;53 221 000;286 000;721 000;2 464 000
1087800006832;"МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ЦЕРКОВЬ ХРИСТИАН ВЕРЫ ЕВАНГЕЛЬСКОЙ ""НОВЫЙ ЗАВЕТ"" В Г. САНКТ-ПЕТЕРБУРГ";13.11.2008;13,5;Действующая;Санкт-Петербург;Санкт-Петербург, Петроградский;Деятельность религиозных организаций;Религиозные организации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1025900912510;"АССОЦИАЦИЯ КИНОСТУДИЯ ""НОВЫЙ КУРС""";17.04.1996;26,0;Действующая;Пермский край;Пермский край, Пермь, Свердловский;Производство кинофильмов, видеофильмов и телевизионных программ;Объединения юридических лиц;;;;;;;;;;1 875 000;3 980 000;904 000;29 000;29 000;29 000;1 875 000;3 980 000;904 000;717 000;158 000;377 000;;;;717 000;157 000;376 000;3 115 000;9 314 000;2 422 000;-1 753 000;-6 271 000;-4 768 000;-796 000;-724 000;-721 000;-15 000;-131 000;-31 000;-2 564 000;-7 126 000;-5 520 000;1 607 000;3 795 000;697 000
1097799004775;"АНО ""НОВЫЙ ПЕНСИОНЕР""";17.03.2009;13,0;Действующая;Москва;Москва, Восточный, Сокольники;Деятельность информационных агентств;Автономные некоммерческие организации;;;;;;;;;;;41 000;60 000;;;;;41 000;60 000;;41 000;16 000;;47 000;;;500 000;598 000;;500 000;598 000;;441 000;515 000;;;;;;;;459 000;579 000;;41 000;60 000
1035204611694;"РПОО ППВИЧС ""НОКСМ""";05.07.1991;31,0;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Нижегородский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;196 000;124 000;176 000;;;;196 000;124 000;176 000;;;;;;;;;;1 381 000;1 566 000;1 397 000;;;35 000;986 000;1 570 000;1 085 000;;;;1 186 000;1 638 000;1 357 000;196 000;124 000;160 000
1125000005030;"АНОО ""НОП ЦЕНТР""";17.12.1996;25,5;Действующая;Московская область;Московская область, Пушкино, Красноармейск;Образование среднее общее;Автономные некоммерческие организации;;;;;;;;;;14 846 000;14 907 000;15 472 000;300 000;300 000;300 000;14 846 000;14 907 000;15 472 000;2 029 000;2 296 000;119 000;;;;;;;;;;;;;;;;;;;;;;;;
1026200006612;РРО ОООИ ВОГ;01.09.1995;26,5;Действующая;Рязанская область;Рязанская область, Рязань, Советский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;31 000;402 000;28 000;;;;31 000;402 000;28 000;-58 000;371 000;-410 000;;;;;;;1 202 000;1 352 000;2 391 000;234 000;136 000;1 362 000;958 000;1 148 000;973 000;10 000;59 000;56 000;1 202 000;1 352 000;2 391 000;;;
1051002821495;"МДОО ""НОРС-Р""";29.11.2005;16,5;Действующая;Карелия (Республика);Республика Карелия, Петрозаводск;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;4 521 000;2 162 000;2 788 000;;886 000;72 000;4 521 000;2 162 000;2 788 000;;;;;;;;;;7 972 000;3 809 000;4 559 000;6 504 000;2 045 000;1 322 000;217 000;2 344 000;1 786 000;;1 114 000;183 000;6 730 000;5 522 000;3 291 000;3 233 000;1 520 000;2 788 000
1135000004578;"ЧУ ""НОУ ""ШКОЛЯР""";05.09.2013;8,5;Действующая;Московская область;Московская область, Черноголовка;Образование основное общее;Частные учреждения;;;;;;;;;;775 000;733 000;120 000;;;;775 000;733 000;120 000;-57 000;-405 000;;;;;;;;;;3 191 000;;54 000;;148 000;;1 743 000;;;;148 000;43 000;2 822 000;;43 000;412 000
1155476142073;"АНО ДПО ""НОУЦ""";31.01.2014;8,0;Действующая;Новосибирская область;Новосибирская область, Новосибирск, Октябрьский;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;640 000;607 000;865 000;;;;640 000;607 000;865 000;79 000;44 000;-3 823 000;;;;79 000;44 000;138 000;79 000;44 000;138 000;;;;;;;;;;;;;317 000;361 000;499 000
1027739384584;"АНО ""НОЦ ""АРГОС""";11.07.1997;25,0;Действующая;Москва;Москва, Восточный, Перово;Образование профессиональное дополнительное;Автономные некоммерческие организации;;;;;;;;;;36 000;36 000;36 000;10 000;10 000;10 000;36 000;36 000;36 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1217100004549;"АНО ""НОЦ ТУЛАТЕХ""";06.04.2021;1,0;Действующая;Тульская область;Тульская область, Тула, Центральный;Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки;Автономные некоммерческие организации;;;;;;;;;;;;11 359 000;;;;;;11 359 000;;;;;;;;;;;;141 464 000;;;;;;8 265 000;;;4 346 000;;;134 451 000;;;7 013 000
1092100000816;"НОУ ""НОЦ ""ЭКРА""";17.07.2009;13,0;Действующая;Чувашская Республика-Чувашия;Чувашская Республика - Чувашия, Чебоксары;Образование профессиональное дополнительное;Частные учреждения;;;;;;;;;;14 839 000;12 953 000;25 228 000;;;;14 839 000;12 953 000;25 228 000;671 000;-5 536 000;2 463 000;;;;;;;4 868 000;5 352 000;18 641 000;;;;3 000 000;5 000 000;10 000 000;1 868 000;352 000;8 641 000;4 868 000;5 352 000;18 641 000;;;
1037858014040;МБОО «НОЧЛЕЖКА»;14.01.1998;24,5;Действующая;Санкт-Петербург;Санкт-Петербург, Фрунзенский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;84 184 000;160 552 000;219 079 000;82 979 000;145 778 000;214 229 000;84 184 000;160 552 000;219 079 000;4 314 000;1 978 000;1 246 000;;;;974 000;1 978 000;1 246 000;102 320 000;164 477 000;175 169 000;4 636 000;91 147 000;69 963 000;53 440 000;10 531 000;17 646 000;10 079 000;4 904 000;46 706 000;72 975 000;106 582 000;153 221 000;68 599 000;126 494 000;148 442 000
1037717009846;"МАНО ""НОЧНЫЕ ВОЛКИ""";21.04.2003;19,0;Действующая;Москва;Москва, Северо-Западный, Хорошево-Мневники;Деятельность в области спорта прочая;Автономные некоммерческие организации;;;;;;;;;;13 499 000;14 338 000;16 245 000;;;;13 499 000;14 338 000;16 245 000;;;;;;;14 978 000;20 297 000;19 339 000;52 131 000;38 584 000;37 454 000;29 990 000;20 100 000;20 250 000;8 744 000;7 167 000;8 325 000;143 000;;;48 282 000;34 350 000;34 209 000;379 000;4 614 000;7 859 000
1121600001874;"АССОЦИАЦИЯ ""НП ""МЕЖДУНАРОДНЫЙ ИНСТИТУТ АНТИКВАРИАТА""";16.04.2012;10,0;Действующая;Республика Татарстан;Республика Татарстан, Казань, Советский;Деятельность коммерческих и предпринимательских членских организаций;Объединения юридических лиц;;;;;;;;;;525 000;588 000;660 000;3 000;-236 000;-236 000;525 000;588 000;660 000;;;;;;;;;;;;;;;;;;;;;;;;;;;
1025501869645;"АССОЦИАЦИЯ ""НП ОМЦ ""ХИМИК""";15.08.2000;21,5;Действующая;Омская область;Омская область, Омск, Советский;Деятельность в области исполнительских искусств;Некоммерческие партнерства;;;;;;;;;;16 581 000;13 870 000;14 200 000;2 257 000;2 219 000;3 386 000;16 581 000;13 870 000;14 200 000;1 017 000;-38 000;1 167 000;24 014 000;22 069 000;28 304 000;1 017 000;-38 000;1 167 000;43 227 000;30 962 000;41 658 000;3 117 000;1 068 000;5 244 000;39 871 000;27 292 000;32 867 000;239 000;2 602 000;;43 227 000;30 962 000;40 750 000;;;908 000
1106300001500;"АССОЦИАЦИЯ ""НП ЦНЭСИТ""";10.03.2010;12,0;Действующая;Самарская область;Самарская область, Самара, Октябрьский;Судебно-экспертная деятельность;Объединения юридических лиц;;;;;;;;;;2 754 000;4 112 000;4 681 000;1 669 000;2 962 000;;2 754 000;4 112 000;4 681 000;276 000;1 292 000;-64 000;;;;;;;;;;;;;;;;;;;;;;;;
1087800000683;СПБ РО ОООИ ВОГ;31.07.1991;31,0;Действующая;Санкт-Петербург;Санкт-Петербург, Калининский;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;9 944 000;12 593 000;14 449 000;9 292 000;12 284 000;14 147 000;9 944 000;12 593 000;14 449 000;;;;7 766 000;7 341 000;10 363 000;14 223 000;10 726 000;14 960 000;16 459 000;15 997 000;19 220 000;100 000;158 000;229 000;3 631 000;3 655 000;4 610 000;;;75 000;15 904 000;14 523 000;17 487 000;561 000;2 035 000;3 768 000
