Регистрационный номер;Краткое наименование;Дата регистрации;Возраст компании, лет;Статус;Регион регистрации;Наименование ОКАТО;Вид деятельности/отрасль;Организационно-правовая форма;2019, Доходы, RUB;2020, Доходы, RUB;2021, Доходы, RUB;2019, Расходы, RUB;2020, Расходы, RUB;2021, Расходы, RUB;2019, Налоги, RUB;2020, Налоги, RUB;2021, Налоги, RUB;2019, Активы  всего, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2019, Капитал и резервы, RUB;2020, Капитал и резервы, RUB;2021, Капитал и резервы, RUB;2019, Пассивы всего, RUB;2020, Пассивы всего, RUB;2021, Пассивы всего, RUB;2019, Чистая прибыль (убыток), RUB;2020, Чистая прибыль (убыток), RUB;2021, Чистая прибыль (убыток), RUB;2019, Оплата труда, RUB;2020, Оплата труда, RUB;2021, Оплата труда, RUB;2019, Прибыль от приносящей доход деятельности, RUB;2020, Прибыль от приносящей доход деятельности, RUB;2021, Прибыль от приносящей доход деятельности, RUB;2019, Всего поступило средств, RUB;2020, Всего поступило средств, RUB;2021, Всего поступило средств, RUB;2019, Расходы на целевые мероприятия, RUB;2020, Расходы на целевые мероприятия, RUB;2021, Расходы на целевые мероприятия, RUB;2019, Расходы на содержание аппарата управления, RUB;2020, Расходы на содержание аппарата управления, RUB;2021, Расходы на содержание аппарата управления, RUB;2019, Приобретение основных средств, инвентаря и иного имущества, RUB;2020, Приобретение основных средств, инвентаря и иного имущества, RUB;2021, Приобретение основных средств, инвентаря и иного имущества, RUB;2019, Всего использовано средств, RUB;2020, Всего использовано средств, RUB;2021, Всего использовано средств, RUB;2019, Остаток средств на конец отчетного года, RUB;2020, Остаток средств на конец отчетного года, RUB;2021, Остаток средств на конец отчетного года, RUB
1025000006448;"ПОДОЛЬСКАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ МОСКОВСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""";21.10.1997;24,5;Действующая;Московская область;Московская область, Подольск;Деятельность прочих общественных организаций, не включенных в другие группировки;Общественные организации;;;;;;;;;;359 000;66 000;30 000;359 000;66 000;30 000;359 000;66 000;30 000;;;;;;;;;;444 000;505 000;;416 000;380 000;;62 000;60 000;;;;;478 000;440 000;;1 000;66 000;
1023901009362;"ПОУ ""КОСТШ"" ""ДОСААФ РОССИИ""";30.06.1999;23,0;Действующая;Калининградская область;Калининградская область, Калининград, Ленинградский;Деятельность школ подготовки водителей автотранспортных средств;Частные учреждения;;;;;;;;;;12 916 000;13 304 000;14 243 000;-5 305 000;-7 393 000;-8 145 000;12 916 000;13 304 000;14 243 000;141 000;-688 000;-2 210 000;8 634 000;5 084 000;5 880 000;8 000;;;4 438 000;4 758 000;3 799 000;;;;5 743 000;5 822 000;4 875 000;;665 000;;5 825 000;6 788 000;5 073 000;-8 071 000;-10 101 000;-11 375 000
1151600001926;"АНО ""КОУТ 2.0""";18.06.2015;7,0;Действующая;Республика Татарстан;Республика Татарстан, Казань, Вахитовский;Научные исследования и разработки в области общественных и гуманитарных наук;Автономные некоммерческие организации;;;;;;;;;;90 073 000;122 836 000;88 802 000;89 353 000;122 155 000;88 228 000;90 073 000;122 836 000;88 802 000;;;;9 213 000;;;;;;102 405 000;139 772 000;101 200 000;91 742 000;94 773 000;97 806 000;10 124 000;12 197 000;16 161 000;12 848 000;11 709 000;3 907 000;114 714 000;118 678 000;117 875 000;9 769 000;30 862 000;14 187 000
1127799018027;ФОНД КПД СТО;12.09.2012;9,5;Действующая;Москва;Москва, Центральный, Пресненский;Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению;Фонды;;;;;;;;;;5 508 000;158 000;412 000;-6 000;158 000;;5 508 000;158 000;412 000;;;;;;;;;;1 500 000;6 913 000;;3 545 000;-6 761 000;-152 000;;;;;;;3 545 000;-6 761 000;-152 000;;152 000;
1032335003800;"ККО ПП ""КПРФ""";10.06.2002;20,0;Действующая;Краснодарский край;Краснодарский край, Краснодар, Центральный;Деятельность политических организаций;Политические партии;;;;;;;;;;53 551 000;56 218 000;55 213 000;3 834 000;4 707 000;2 742 000;53 551 000;56 218 000;55 213 000;2 565 000;3 821 000;2 387 000;;;;2 565 000;3 821 000;2 387 000;20 014 000;26 089 000;28 631 000;5 562 000;11 493 000;14 961 000;12 977 000;13 038 000;14 818 000;2 203 000;88 000;;21 332 000;25 303 000;30 596 000;54 000;840 000;-1 125 000
1031002190097;"КРО ПП ""КПРФ""";28.05.2002;20,0;Действующая;Карелия (Республика);Республика Карелия, Петрозаводск;Деятельность политических организаций;Политические партии;;;;;;;;;;14 178 000;14 221 000;14 206 000;3 663 000;3 706 000;3 691 000;14 178 000;14 221 000;14 206 000;;;;;;;;;;9 802 000;7 707 000;9 764 000;1 792 000;1 194 000;3 225 000;2 335 000;6 333 000;6 339 000;1 914 000;;;10 161 000;7 664 000;9 779 000;15 000;58 000;43 000
1034700005306;ЛОО КПРФ;28.06.2002;20,0;Действующая;Ленинградская область;Ленинградская область, Всеволожский район, Всеволожск;Деятельность политических организаций;Политические партии;;;;;;;;;;3 096 000;3 234 000;4 332 000;2 868 000;3 040 000;4 166 000;3 096 000;3 234 000;4 332 000;;;;;;;;;;10 852 000;10 296 000;18 241 000;3 022 000;1 158 000;8 416 000;7 921 000;8 601 000;8 334 000;344 000;;997 000;11 652 000;10 124 000;18 112 000;-48 000;124 000;253 000
1025200017325;НРО ПП КПРФ;11.05.1993;29,0;Действующая;Нижегородская область;Нижегородская область, Нижний Новгород, Нижегородский;Деятельность политических организаций;Политические партии;;;;;;;;;;26 252 000;27 777 000;25 330 000;;;;26 252 000;27 777 000;25 330 000;;;;;;;697 000;527 000;1 163 000;10 108 000;15 387 000;27 059 000;2 186 000;5 266 000;21 766 000;6 879 000;7 346 000;7 359 000;;1 402 000;;9 506 000;14 455 000;29 567 000;2 038 000;2 970 000;462 000
1026403351611;"САРАТОВСКОЕ ОБЛАСТНОЕ ОТДЕЛЕНИЕ ПОЛИТИЧЕСКОЙ ПАРТИИ ""КПРФ""";23.02.1994;28,0;Действующая;Саратовская область;Саратовская область, Саратов, Волжский;Деятельность политических организаций;Политические партии;;;;;;;;;;28 316 000;30 609 000;28 677 000;6 857 000;9 221 000;7 465 000;28 316 000;30 609 000;28 677 000;;;;;;;270 000;423 000;513 000;17 842 000;11 717 000;13 035 000;7 000;2 497 000;7 211 000;5 668 000;6 592 000;6 338 000;7 613 000;;1 911 000;16 104 000;9 353 000;15 724 000;2 700 000;5 064 000;2 375 000
1026600006344;"СВЕРДЛОВСКОЕ ОБЛАСТНОЕ ОТДЕЛЕНИЕ ПОЛИТИЧЕСКОЙ ПАРТИИ ""КПРФ""";30.09.1993;28,5;Действующая;Свердловская область;Свердловская область, Екатеринбург, Ленинский;Деятельность политических организаций;Политические партии;;;;;;;;;;22 227 000;21 891 000;21 509 000;1 248 000;902 000;819 000;22 227 000;21 891 000;21 509 000;;;;;;;;;;11 575 000;9 326 000;26 894 000;3 705 000;3 157 000;20 306 000;8 120 000;6 199 000;6 357 000;;;84 000;12 277 000;9 671 000;27 062 000;395 000;50 000;-118 000
