name,ogrn,status,region,okopf,okopf_id
"ПОДДЕРЖКА И ЗАЩИТА, БФ",1191513001272,Действующая,Северная Осетия-Алания (Республика),Благотворительные фонды,70401
"ПОДДЕРЖКА И РАЗВИТИЕ ДЕТСКОГО САДА № 155, БФ",1124200000650,Действующая,Кемеровская область,Благотворительные фонды,70401
"ПОДДЕРЖКА И РАЗВИТИЕ МАЙМИНСКОЙ ДШИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1150400000057,Действующая,Алтай (Республика),Благотворительные фонды,70401
"ПОДДЕРЖКА И РАЗВИТИЕ, ФОНД",1076600009122,Действующая,Свердловская область,Фонды,70400
"ПОДДЕРЖКА ОБЩЕСТВЕННЫХ ИНИЦИАТИВ И МЕСТНОГО САМОУПРАВЛЕНИЯ ГО ЗАРЕЧНЫЙ, ФОНД",1146600002075,Действующая,Свердловская область,Фонды,70400
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД Б.П.СОУСТИНА ПОДДЕРЖКА ТВОРЧЕСКОЙ МОЛОДЕЖИ, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ",1022402144159,Действующая,Красноярский край,Благотворительные фонды,70401
"ПОДДЕРЖКА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027200829688,Действующая,Тюменская область,Благотворительные фонды,70401
"ПОДДЕРЖКА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1082400002475,Действующая,Красноярский край,Благотворительные фонды,70401
"ПОДДЕРЖКА, БФ",1195476013974,Действующая,Новосибирская область,Благотворительные фонды,70401
"ПОДДЕРЖКА, НФ",1056605603878,Действующая,Свердловская область,Фонды,70400
"ПОДДЕРЖКА, МЕСТНЫЙ ОБЩЕСТВЕННЫЙ ФОНД РАЗВИТИЯ ШКОЛЫ №63 Г. КРАСНОЯРСКА",1022400006970,Действующая,Красноярский край,Общественные фонды,70403
"ПОДДЕРЖКА, РОБФ",1060500002243,Действующая,Дагестан (Республика),Благотворительные фонды,70401
"ПОДДЕРЖКЕ СЛЕПОГЛУХИХ ИНВАЛИДОВ РД, БФ ПО",1180571004635,Действующая,Дагестан (Республика),Благотворительные фонды,70401
"ПОДДЕРЖКИ АПК, ФОНД",1164501053750,Действующая,Курганская область,Фонды,70400
"ПОДДЕРЖКИ БИЗНЕСА И ИННОВАЦИЙ, ФОНД",1106600004565,Действующая,Свердловская область,Фонды,70400
"ПОДДЕРЖКИ БОРЬБЫ С ГЕПАТИТОМ С, ФОНД",1187700000982,Действующая,Ингушетия (Республика),Фонды,70400
"ПОДДЕРЖКИ БЫВШЕГО БЛОКАДНОГО ЛЕНИНГРАДА, ФОНД СОЦ",,Действующая,Челябинская область,Фонды,70400
"ПОДДЕРЖКИ ВЕТЕРАНОВ И СОТРУДНИКОВ ПРАВООХРАНИТЕЛЬНЫХ ОРГАНОВ, ФОНД",1186658012530,Действующая,Свердловская область,Фонды,70400
"ПОДДЕРЖКИ ГИМНАЗИИ № 17, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ФОНД",1114200000122,Действующая,Кемеровская область,Фонды,70400
"ПОДДЕРЖКИ ГРАЖДАНСКИХ ИНИЦИАТИВ ЮЖНОГО УРАЛА, ФОНД",1197400002062,Действующая,Челябинская область,Фонды,70400
