website,robots_txt,sitemap_page,is_sitemap_in_robots,ogrn
http://qnsd.ru,True,True,True,1207700301214
http://spiefqatar.ru,True,True,False,1207700301214
http://studyarabic.ru,True,True,False,1207700301214
http://iikmi.ru,True,True,True,1201600094948
http://rugby27.ru,True,False,False,1202700003351
http://www.alibra.ru,True,True,True,1207700427043
http://русь-фонд.рф,True,True,True,1206600074922
http://svoya89.ru,True,False,False,1208900000803
http://nkofondrjs.ru,True,False,False,1209200006289
http://bcspp.ru,False,False,False,1203100017790
http://эталон-эксперт.рф,True,True,True,1203100017790
http://volgorace.ru,True,False,False,1203400013816
http://tvoebalezino.ru,True,True,False,1201800023875
http://artkamchatka.ru,True,False,False,1204100000389
http://bfsvetsz.ru,True,False,False,1207800174515
http://dtcvlg.ru,True,True,True,1203400003157
http://nicrus.ru,True,True,True,1207700157807
http://pzh-endowment.ru,True,True,True,1207700370074
http://fond-angely.ru,True,False,False,1207800168003
http://doanket.ru,True,True,True,1207700294020
http://fonddruzhba.ru,True,True,True,1207700294020
http://bfveter-peremen.ru,True,True,True,1207800107470
http://kcpoi.ru,True,False,False,1202400011351
http://www.orun.ru,True,True,False,1207700354564
http://shturmandv.ru,True,True,True,1202700018234
http://стартклин.рф,True,True,True,1205000117211
http://appkk.ru,True,True,True,1204800011635
http://pereluchischool.ru,True,False,False,1205300004832
http://militariada.ru,True,True,True,1205000035250
http://kcgo.ru,True,True,True,1207700234279
http://dorogamidobra.ru,True,True,True,1208900000792
http://nasledieedema.ru,False,False,False,1204200007615
http://bfobedinenie.ru,False,False,False,1206000004418
http://utrish2020.ru,True,True,True,1202300067144
http://cdsei.ru,True,True,True,1207800102784
http://fondonline.ru,True,True,True,1207700459042
http://эврика89.рф,True,False,False,1208900002530
http://habplem.ru,False,False,False,1202700018168
http://niivea.ru,True,False,False,1205000051002
http://okbcyclone.ru,True,False,False,1205000051002
http://okbpemz.ru,True,True,True,1205000051002
http://neomyo.ru,True,True,True,1205000072386
http://advoekat.ru,True,False,False,1206600063020
http://2020фонд.рф,True,True,True,1207400044004
