ogrn,website,bin_robots,bin_sitemap,bin_fb,bin_vk,bin_ig,bin_ok,bin_youtube,bin_tiktok,bin_donation,wcag_score,mean_page_speed,bin_title,bin_headings,bin_mob_friendly,bin_ssl,bin_socnet
1025200017732,ntctt.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0
1027700153645,ifdm.ru,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769232,0.8966666666666666,1.0,1.0,1.0,0.0,0.3333333333333333
1035000003356,www.niip.ru,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9423076923076924,0.6699999999999999,1.0,1.0,,1.0,0.0
1027739383814,pronm.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5517241379310345,0.99,1.0,1.0,1.0,0.0,0.0
1027739747056,profsouz-obrazovanie-uzao.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.8633333333333333,1.0,1.0,1.0,1.0,0.0
1037739241649,forum-vipusknikov.ru,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7419354838709677,0.68,1.0,1.0,,0.0,0.5
1037739456303,www.opk.msu.ru,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9230769230769232,0.7133333333333334,1.0,1.0,1.0,0.0,0.5
1030800757338,kalmreskom.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8266666666666667,1.0,0.0,,0.0,0.0
1027700290342,www.rsva.ru,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9230769230769232,0.7133333333333334,1.0,0.0,1.0,1.0,0.6666666666666666
1023300000118,prgu33.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4102564102564102,0.9766666666666666,1.0,0.0,1.0,0.0,0.0
1027700131282,www.voa.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8666666666666667,1.0,0.0,0.0,1.0,0.0
1020100001833,prgura.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769232,0.97,1.0,1.0,1.0,1.0,0.0
1027739485620,www.ruy.ru,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4766666666666667,1.0,1.0,1.0,1.0,0.5
1027400001530,voa74.ru,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6551724137931034,1.0,1.0,1.0,0.0,0.0,0.16666666666666666
1027200001377,prgu72.ru,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5306122448979592,0.8700000000000001,1.0,1.0,,1.0,0.8333333333333334
1027739799702,www.prgu.ru,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7233333333333333,1.0,1.0,0.0,0.0,0.16666666666666666
1027739838081,www.mgoprofgos.ru,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8269230769230769,0.7833333333333333,1.0,0.0,1.0,1.0,0.6666666666666666
1037739183437,mosoblprgu.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.95,1.0,1.0,1.0,0.0,0.0
1037739383219,peacefond.ru,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846153846153846,0.7533333333333333,1.0,0.0,1.0,0.0,0.16666666666666666
1037739383219,peacefound.ru,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846153846153846,0.7433333333333333,1.0,0.0,1.0,1.0,0.16666666666666666
1087799040735,www.democrats.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.99,1.0,0.0,,0.0,0.0
1037739772949,uniet.ru,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7931034482758621,0.99,1.0,0.0,,0.0,0.0
1027739070556,shrfest.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7678571428571429,0.9433333333333334,1.0,0.0,,1.0,0.0
1022100010921,rfs21.ru,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8333333333333334,1.0,1.0,,1.0,0.0
1027700186667,www.rprk.ru,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4482758620689655,0.9133333333333334,1.0,0.0,0.0,0.0,0.16666666666666666
1026200000023,sportuslugi.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5517241379310345,1.0,1.0,0.0,0.0,0.0,0.0
1026900000885,www.znanie.org,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,1.0,1.0,1.0,0.0,1.0,0.0
1026600002472,sverdprofkult.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.7233333333333333,1.0,0.0,,0.0,0.0
1022900002564,dvorecsporta29.ru,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.8533333333333334,1.0,0.0,,1.0,0.16666666666666666
1037739456600,www.profagro.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.8933333333333332,1.0,1.0,1.0,1.0,0.0
1025900001820,fondmiraperm.ru,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8269230769230769,0.31,1.0,0.0,1.0,1.0,0.16666666666666666
1027739647760,moboatlant.ru,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.16666666666666666
1027400004917,союзженщин74.рф,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4871794871794871,0.8433333333333333,1.0,1.0,0.0,0.0,0.3333333333333333
1027746000260,ainrf.ru,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0699999999999999,1.0,1.0,,0.0,0.0
1047200388157,berdmedia.ru,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.97,1.0,1.0,,1.0,0.3333333333333333
1023300000503,vladoblprof.ru,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7435897435897436,0.6633333333333333,1.0,1.0,,0.0,0.5
1125300000836,fond53.ru,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.896551724137931,0.9866666666666668,1.0,1.0,1.0,0.0,0.3333333333333333
1037700077942,nobility.ru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5918367346938775,0.8966666666666666,1.0,1.0,1.0,0.0,0.0
1037739508619,saintplaces.ru,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.9966666666666668,1.0,1.0,1.0,0.0,0.0
1047200041085,ishimpravda.ru,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9387755102040816,0.8766666666666666,1.0,1.0,,1.0,0.5
1021500001874,greek-ossetia.ru,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.7000000000000001,1.0,0.0,1.0,0.0,0.3333333333333333
1027400005050,invamag.ru,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8548387096774194,0.51,1.0,0.0,1.0,0.0,0.3333333333333333
1037739097945,www.клубсфера.рф,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.6333333333333333,1.0,0.0,0.0,0.0,0.16666666666666666
1037700033073,www.memo.ru,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6231884057971014,0.89,1.0,0.0,1.0,1.0,0.6666666666666666
