id,title,score,numericValue,numericUnit,website
largest-contentful-paint,Largest Contentful Paint,0.2,3804.0,millisecond,http://urh-nao.ru
first-contentful-paint,First Contentful Paint,0.34,1894.0,millisecond,http://urh-nao.ru
interactive,Time to Interactive,0.81,2975.0,millisecond,http://akm29.ru
largest-contentful-paint,Largest Contentful Paint,0.75,1671.0,millisecond,http://akm29.ru
first-contentful-paint,First Contentful Paint,0.87,995.0,millisecond,http://akm29.ru
interactive,Time to Interactive,1.0,510.0,millisecond,http://ipsc29.ru
largest-contentful-paint,Largest Contentful Paint,0.87,1303.5,millisecond,http://ipsc29.ru
first-contentful-paint,First Contentful Paint,1.0,510.0,millisecond,http://ipsc29.ru
interactive,Time to Interactive,0.46,4711.5,millisecond,http://gildiaspp.ru
largest-contentful-paint,Largest Contentful Paint,0.02,7365.0,millisecond,http://gildiaspp.ru
first-contentful-paint,First Contentful Paint,0.96,780.5,millisecond,http://gildiaspp.ru
interactive,Time to Interactive,1.0,1281.0,millisecond,http://nrap.ru
largest-contentful-paint,Largest Contentful Paint,0.58,2165.0,millisecond,http://nrap.ru
first-contentful-paint,First Contentful Paint,0.93,850.0,millisecond,http://nrap.ru
interactive,Time to Interactive,0.96,2016.5,millisecond,http://os34.ru
largest-contentful-paint,Largest Contentful Paint,0.63,2000.0,millisecond,http://os34.ru
first-contentful-paint,First Contentful Paint,0.81,1100.0,millisecond,http://os34.ru
interactive,Time to Interactive,0.38,5213.5,millisecond,http://vwrf.ru
largest-contentful-paint,Largest Contentful Paint,0.93,1080.0,millisecond,http://vwrf.ru
first-contentful-paint,First Contentful Paint,0.89,951.0,millisecond,http://vwrf.ru
interactive,Time to Interactive,1.0,315.0,millisecond,http://березовчанка.рф
largest-contentful-paint,Largest Contentful Paint,1.0,460.0,millisecond,http://березовчанка.рф
first-contentful-paint,First Contentful Paint,1.0,315.0,millisecond,http://березовчанка.рф
interactive,Time to Interactive,1.0,523.0,millisecond,http://lesnoy-dosaaf.ru
largest-contentful-paint,Largest Contentful Paint,0.92,1110.0,millisecond,http://lesnoy-dosaaf.ru
first-contentful-paint,First Contentful Paint,1.0,523.0,millisecond,http://lesnoy-dosaaf.ru
interactive,Time to Interactive,0.72,3436.0,millisecond,http://areopag-oblast.ru
largest-contentful-paint,Largest Contentful Paint,0.91,1164.0,millisecond,http://areopag-oblast.ru
first-contentful-paint,First Contentful Paint,0.86,1009.0,millisecond,http://areopag-oblast.ru
