vk,count_members,count_posts_all,count_posts_per_month,likes_overall_all,likes_mean_all,comments_overall_all,comments_mean_all,reposts_overall_all,reposts_mean_all,views_overall_all,views_mean_all,ads_overall_all,ads_mean_all,ogrn,shortName,fullName,field,website,group_id
https://vk.com/mmkf,4069.0,268.0,2.86,172.0,8.6,12.0,0.6,172.0,8.6,12423.0,621.15,0.0,0.0,1067799030860,"АНО ""МЕДИАФЕСТ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ДИРЕКЦИЯ ПО ОРГАНИЗАЦИИ И ПРОВЕДЕНИЮ МЕЖДУНАРОДНЫХ ФЕСТИВАЛЕЙ ""МЕДИАФЕСТ""","Культура, искусство",moscowfilmfestival.ru,mmkf
https://vk.com/mmom_ru,9122.0,3219.0,20.0,3218.0,160.9,96.0,4.8,3218.0,160.9,56174.0,2808.7,0.0,0.0,1027700173984,"Религиозная Организация ""Ставропигиальный Женский Монастырь - Марфо-Мариинская Обитель Милосердия Русской Православной Церкви (Московский Патриархат)""","РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""СТАВРОПИГИАЛЬНЫЙ ЖЕНСКИЙ МОНАСТЫРЬ - МАРФО-МАРИИНСКАЯ ОБИТЕЛЬ МИЛОСЕРДИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""",Религия,mmom.ru,mmom_ru
https://vk.com/mnogodeti77,3444.0,4103.0,6.67,76.0,3.8,0.0,0.0,76.0,3.8,6329.0,316.45,0.0,0.0,1126000001027,"ПОООМС ""ДЕТИ - НАШЕ БУДУЩЕЕ""","ПСКОВСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ МНОГОДЕТНЫХ СЕМЕЙ ""ДЕТИ - НАШЕ БУДУЩЕЕ""","Организации для семей, женщин, детей и подростков",mnogodeti60.ru,mnogodeti77
https://vk.com/moibiznes57,1963.0,1050.0,6.67,242.0,12.1,8.0,0.4,242.0,12.1,19094.0,954.7,0.0,0.0,1125700000172,"НО ""ФППОО""","НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ФОНД ПОДДЕРЖКИ ПРЕДПРИНИМАТЕЛЬСТВА ОРЛОВСКОЙ ОБЛАСТИ""",Поддержка предпринимательства,msb-orel.ru,moibiznes57
https://vk.com/molpalata74,1256.0,751.0,10.0,654.0,32.7,7.0,0.35,654.0,32.7,17010.0,850.5,0.0,0.0,1057400012966,"ЧРМООПИ ""МОЛОДЕЖНАЯ ПАЛАТА""","ЧЕЛЯБИНСКАЯ РЕГИОНАЛЬНАЯ МОЛОДЕЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОДДЕРЖКИ ИНИЦИАТИВ ""МОЛОДЕЖНАЯ ПАЛАТА""","Организации для семей, женщин, детей и подростков",молпалата.рф,molpalata74
https://vk.com/molsovet_vlg,863.0,94.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,7.45,0.0,0.0,1113400001549,"ВРОО ""МОЛОДЕЖНЫЙ СОВЕТ""","ВОЛГОГРАДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ В ПОДДЕРЖКУ МОЛОДЕЖИ ""МОЛОДЕЖНЫЙ СОВЕТ""","Организации для семей, женщин, детей и подростков",http://www.molsovet34.ru,molsovet_vlg
https://vk.com/monasterygoric,5202.0,4928.0,10.0,4224.0,211.2,53.0,2.65,4224.0,211.2,86274.0,4313.7,0.0,0.0,1033501072296,,ПРАВОСЛАВНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ВОСКРЕСЕНСКИЙ ГОРИЦКИЙ ЖЕНСКИЙ ЕПАРХИАЛЬНЫЙ МОНАСТЫРЬ С.ГОРИЦЫ КИРИЛЛОВСКОГО РАЙОНА ВОЛОГОДСКОЙ ОБЛАСТИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),Религия,monastirgor.ru,monasterygoric
https://vk.com/monuspen.nmsk,3868.0,2551.0,10.0,425.0,21.25,0.0,0.0,425.0,21.25,14414.0,720.7,0.0,0.0,1027100006372,,"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""СВЯТО - УСПЕНСКИЙ МУЖСКОЙ МОНАСТЫРЬ Г. НОВОМОСКОВСКА ТУЛЬСКОЙ ОБЛАСТИ ТУЛЬСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""",Религия,monuspen.ru,monuspen.nmsk
https://vk.com/moo_doverie,3026.0,1004.0,6.67,3786.0,189.3,188.0,9.4,3786.0,189.3,39808.0,1990.4,0.0,0.0,1117800010350,"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОДДЕРЖКИ ПАЦИЕНТОВ С ВОСПАЛИТЕЛЬНЫМИ ЗАБОЛЕВАНИЯМИ КИШЕЧНИКА (ВЗК) И СИНДРОМОМ КОРОТКОЙ КИШКИ (СКК) ""ДОВЕРИЕ""","МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОДДЕРЖКИ ПАЦИЕНТОВ С ВОСПАЛИТЕЛЬНЫМИ ЗАБОЛЕВАНИЯМИ КИШЕЧНИКА (ВЗК) И СИНДРОМОМ КОРОТКОЙ КИШКИ (СКК) ""ДОВЕРИЕ""",Медицина и здравоохранение,vzk-life.ru,moo_doverie
https://vk.com/mooovoi,113.0,1251.0,10.0,86.0,4.3,1.0,0.05,86.0,4.3,645.0,32.25,0.0,0.0,1027700537028,МОО ОООИ ВОС,"МОСКОВСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ИНВАЛИДОВ ""ВСЕРОССИЙСКОЕ ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ОБЩЕСТВО СЛЕПЫХ""",Инвалиды,mooovoi.org,mooovoi
