issuer,notAfter,notBefore,website,error
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Encryption Everywhere DV TLS CA - G1']]]",Feb 17 23:59:59 2022 GMT,Feb 17 00:00:00 2021 GMT,http://socuslugimo.ru,No error
,,,http://anoinstartup.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 24 22:16:00 2022 GMT,Nov 26 22:16:01 2021 GMT,http://sankinabf.ru,No error
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Encryption Everywhere DV TLS CA - G1']]]",Apr  3 23:59:59 2022 GMT,Apr  3 00:00:00 2021 GMT,http://fctemp.ru,No error
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'GlobalSign GCC R3 DV TLS CA 2020']]]",Aug  4 11:19:52 2022 GMT,Jul  3 11:19:52 2021 GMT,http://deti-v-bolnice.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 28 15:41:05 2022 GMT,Oct 30 15:41:06 2021 GMT,http://fond-imenikonova.ru,No error
,,,http://instituteoftheatre.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
,,,http://fpsr02.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  4 21:05:04 2022 GMT,Jan  4 21:05:05 2022 GMT,http://daily-29.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 27 12:06:16 2022 GMT,Dec 27 12:06:17 2021 GMT,https://фондкругдобра.рф,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 14 08:43:07 2022 GMT,Nov 16 08:43:08 2021 GMT,http://anogisp.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Oct 19 23:59:59 2022 GMT,Oct 19 00:00:00 2021 GMT,http://gazetaniva-perm.ru,No error
,,,http://assorg.ru,SSLError : [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 25 20:29:32 2022 GMT,Oct 27 20:29:33 2021 GMT,http://prolapy-fond.ru,No error
,,,http://rvfond.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 23 15:33:14 2022 GMT,Dec 23 15:33:15 2021 GMT,http://academiasport76.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 27 09:24:04 2022 GMT,Nov 29 09:24:05 2021 GMT,http://fond-lukyasha.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  8 19:11:46 2022 GMT,Nov 10 19:11:47 2021 GMT,http://azbuka-rs.ru,No error
,,,http://innovationcentre.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'innovationcentre.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 26 07:00:25 2022 GMT,Nov 28 07:00:26 2021 GMT,http://omsknoc.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 26 07:36:16 2022 GMT,Dec 26 07:36:17 2021 GMT,http://sodrujestvohotosho.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 20 11:41:41 2022 GMT,Nov 22 11:41:42 2021 GMT,http://starforsma.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 11 06:30:38 2022 GMT,Nov 13 06:30:39 2021 GMT,http://бфн.рф,No error
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'AlphaSSL CA - SHA256 - G2']]]",Jan 14 16:47:32 2023 GMT,Dec 13 16:47:32 2021 GMT,http://domrz.ru,No error
,,,http://spbrc.nw.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'spbrc.nw.ru'. (_ssl.c:1076)"
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'GlobalSign RSA OV SSL CA 2018']]]",May  3 23:09:03 2022 GMT,Apr  1 23:09:03 2021 GMT,http://kmipt.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  9 14:25:06 2022 GMT,Dec  9 14:25:07 2021 GMT,http://avcrf.ru,No error
"[[['countryName', 'LV']], [['localityName', 'Riga']], [['organizationName', 'GoGetSSL']], [['commonName', 'GoGetSSL RSA DV CA']]]",Jun  9 23:59:59 2022 GMT,Jun  9 00:00:00 2021 GMT,http://tsz-magistral-74.narod.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  3 21:05:45 2022 GMT,Dec  3 21:05:46 2021 GMT,http://empp.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Dec 17 23:59:59 2022 GMT,Nov 17 00:00:00 2021 GMT,http://ropnp.ru,No error
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte TLS RSA CA G1']]]",Sep  6 23:59:59 2022 GMT,Aug 25 00:00:00 2021 GMT,http://expert-nko.ru,No error
,,,http://assoneft.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'GlobalSign GCC R3 DV TLS CA 2020']]]",Mar 20 06:46:02 2022 GMT,Feb 16 06:46:02 2021 GMT,http://volynka.ru,No error
,,,http://assoneft.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'GlobalSign GCC R3 DV TLS CA 2020']]]",Mar 20 06:46:02 2022 GMT,Feb 16 06:46:02 2021 GMT,http://volynka.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 13 13:43:29 2022 GMT,Dec 13 13:43:30 2021 GMT,http://mkapbk.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 28 02:02:00 2022 GMT,Dec 28 02:02:01 2021 GMT,http://www.ivbeton.ru,No error
,,,http://ski-dolina.ru,SSLError : [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
"[[['countryName', 'BE']], [['organizationName', 'GlobalSign nv-sa']], [['commonName', 'AlphaSSL CA - SHA256 - G2']]]",Aug  6 14:41:20 2022 GMT,Jul  5 14:41:20 2021 GMT,http://avtoshkoladuk.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  7 08:23:41 2022 GMT,Nov  9 08:23:42 2021 GMT,http://pdc.su,No error
,,,http://kurchatov-hram.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  5 23:23:48 2022 GMT,Jan  5 23:23:49 2022 GMT,http://www.rushandball.ru,No error
"[[['countryName', 'GB']], [['stateOrProvinceName', 'Greater Manchester']], [['localityName', 'Salford']], [['organizationName', 'Sectigo Limited']], [['commonName', 'Sectigo RSA Domain Validation Secure Server CA']]]",Nov  1 23:59:59 2022 GMT,Oct  6 00:00:00 2021 GMT,http://amoko39.ru,No error
,,,http://hram-triozera.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'hram-triozera.ru'. (_ssl.c:1076)"
,,,http://shcherbina.ru,ConnectionRefusedError : [Errno 61] Connection refused
,,,http://cnip.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cnip.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Apr  1 05:54:46 2022 GMT,Jan  1 05:54:47 2022 GMT,http://pokrovbobrava.ru,No error
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte RSA CA 2018']]]",May  1 23:59:59 2022 GMT,May  1 00:00:00 2021 GMT,http://www.profagro.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Jan 23 04:56:08 2022 GMT,Oct 25 04:56:09 2021 GMT,http://www.zilmed.ru,No error
,,,http://lapinski.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://politeia.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 19 09:28:21 2022 GMT,Nov 21 09:28:22 2021 GMT,http://sp-oktb.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 25 22:33:46 2022 GMT,Dec 25 22:33:47 2021 GMT,http://pravoslavmolodezh.ru,No error
,,,http://uraltennis.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'uraltennis.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  8 11:13:25 2022 GMT,Dec  8 11:13:26 2021 GMT,http://stomatologiso.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  9 12:19:29 2022 GMT,Nov 11 12:19:30 2021 GMT,http://emsch.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb 18 22:07:48 2022 GMT,Nov 20 22:07:49 2021 GMT,http://ssopir.ru,No error
,,,http://www.npar.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://rostropovitch.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://penzaeparhia.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 31 20:02:20 2022 GMT,Dec 31 20:02:21 2021 GMT,http://www.certif.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  4 09:01:43 2022 GMT,Dec  4 09:01:44 2021 GMT,http://vpds.ru,No error
,,,http://fond-zerno.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
,,,http://www.mostrud.ru,ConnectionRefusedError : [Errno 61] Connection refused
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  9 11:28:56 2022 GMT,Dec  9 11:28:57 2021 GMT,http://russiankids.ru,No error
,,,http://ortd-druzhba.ru,SSLError : [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', 'DigiCert Inc']], [['organizationalUnitName', 'www.digicert.com']], [['commonName', 'Thawte RSA CA 2018']]]",Apr 14 12:00:00 2022 GMT,Feb 14 00:00:00 2020 GMT,http://hopeww.ru,No error
,,,http://ecocamp.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ecocamp.ru'. (_ssl.c:1076)"
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar  1 06:42:29 2022 GMT,Dec  1 06:42:30 2021 GMT,http://www.arabesk.su,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 14 20:06:25 2022 GMT,Dec 14 20:06:26 2021 GMT,http://taekwondo-moscow.ru,No error
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 11 04:38:21 2022 GMT,Dec 11 04:38:22 2021 GMT,http://orenburg-vog.ru,No error
,,,http://ufa-voi.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ufa-voi.ru'. (_ssl.c:1076)"
,,,http://ffufa.ru,"SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ffufa.ru'. (_ssl.c:1076)"
,,,http://www.ritual.org.ru,SSLError : [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Mar 29 14:25:02 2022 GMT,Dec 29 14:25:03 2021 GMT,http://fc-ross.ru,No error
,,,http://щигровская-епархия.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://ftsspb.ru,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
,,,http://богословка.рф,SSLCertVerificationError : [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
"[[['countryName', 'US']], [['organizationName', ""Let's Encrypt""]], [['commonName', 'R3']]]",Feb  7 20:05:14 2022 GMT,Nov  9 20:05:15 2021 GMT,http://paritet163.ru,No error
